species,status,uniprot_accession,uniprot_entry_name,organism_taxon_id,sequence_length,reviewed,length_plausible,fetch_date_utc,source_url
Chlamydomonas reinhardtii,found_reviewed,P15451,CYC_CHLRE,3055,112,True,True,2026-07-17T10:42:47.880368+00:00,https://rest.uniprot.org/uniprotkb/P15451
Arabidopsis thaliana,found_reviewed,P29380,CYC_ARATH,3702,112,True,True,2026-07-17T10:42:49.628484+00:00,https://rest.uniprot.org/uniprotkb/P29380
Oryza sativa,found_reviewed,Q0DI31,CYC_ORYSJ,39947,112,True,True,2026-07-17T10:42:51.631970+00:00,https://rest.uniprot.org/uniprotkb/Q0DI31
Triticum aestivum,found_reviewed,P00068,CYC_WHEAT,4565,112,True,True,2026-07-17T10:42:53.371910+00:00,https://rest.uniprot.org/uniprotkb/P00068
Zea mays,found_reviewed,P00056,CYC_MAIZE,4577,111,True,True,2026-07-17T10:42:55.215778+00:00,https://rest.uniprot.org/uniprotkb/P00056
Glycine max,found_unreviewed,A0A0R0GLC2,A0A0R0GLC2_SOYBN,3847,90,False,True,2026-07-17T10:42:57.161078+00:00,https://rest.uniprot.org/uniprotkb/A0A0R0GLC2
Nicotiana tabacum,found_unreviewed,A0A1S3ZQ07,A0A1S3ZQ07_TOBAC,4097,112,False,True,2026-07-17T10:42:58.945276+00:00,https://rest.uniprot.org/uniprotkb/A0A1S3ZQ07
Solanum lycopersicum,found_reviewed,P00060,CYC_SOLLC,4081,111,True,True,2026-07-17T10:43:00.740583+00:00,https://rest.uniprot.org/uniprotkb/P00060
Physcomitrium patens,found_unreviewed,A9SLT5,A9SLT5_PHYPA,3218,111,False,True,2026-07-17T10:43:02.396601+00:00,https://rest.uniprot.org/uniprotkb/A9SLT5
Drosophila melanogaster,found_reviewed,P04657,CYC1_DROME,7227,105,True,True,2026-07-17T10:43:04.038394+00:00,https://rest.uniprot.org/uniprotkb/P04657
Caenorhabditis elegans,found_reviewed,P19974,CYC21_CAEEL,6239,111,True,True,2026-07-17T10:43:05.740604+00:00,https://rest.uniprot.org/uniprotkb/P19974
Anopheles gambiae,found_unreviewed,Q7PSA9,Q7PSA9_ANOGA,7165,108,False,True,2026-07-17T10:43:07.567476+00:00,https://rest.uniprot.org/uniprotkb/Q7PSA9
Apis mellifera,found_reviewed,P00038,CYC_APIME,7460,108,True,True,2026-07-17T10:43:09.346811+00:00,https://rest.uniprot.org/uniprotkb/P00038
Strongylocentrotus purpuratus,found_unreviewed,A0A7M7HNZ9,A0A7M7HNZ9_STRPU,7668,118,False,True,2026-07-17T10:43:11.032664+00:00,https://rest.uniprot.org/uniprotkb/A0A7M7HNZ9
Ciona intestinalis,found_unreviewed,F6U5C3,F6U5C3_CIOIN,7719,85,False,True,2026-07-17T10:43:12.638093+00:00,https://rest.uniprot.org/uniprotkb/F6U5C3
Danio rerio,found_reviewed,Q6IQM2,CYC_DANRE,7955,104,True,True,2026-07-17T10:43:14.509683+00:00,https://rest.uniprot.org/uniprotkb/Q6IQM2
Xenopus laevis,found_reviewed,Q6DKE1,CYC2_XENLA,8355,105,True,True,2026-07-17T10:43:16.145563+00:00,https://rest.uniprot.org/uniprotkb/Q6DKE1
Anolis carolinensis,found_unreviewed,A0A803TKE1,A0A803TKE1_ANOCA,28377,105,False,True,2026-07-17T10:43:17.842070+00:00,https://rest.uniprot.org/uniprotkb/A0A803TKE1
Gallus gallus,found_reviewed,P67881,CYC_CHICK,9031,105,True,True,2026-07-17T10:43:19.484523+00:00,https://rest.uniprot.org/uniprotkb/P67881
Meleagris gallopavo,found_reviewed,P67882,CYC_MELGA,9103,105,True,True,2026-07-17T10:43:21.225516+00:00,https://rest.uniprot.org/uniprotkb/P67882
Mus musculus,found_reviewed,P62897,CYC_MOUSE,10090,105,True,True,2026-07-17T10:43:23.001532+00:00,https://rest.uniprot.org/uniprotkb/P62897
Rattus norvegicus,found_reviewed,P62898,CYC_RAT,10116,105,True,True,2026-07-17T10:43:24.719387+00:00,https://rest.uniprot.org/uniprotkb/P62898
Oryctolagus cuniculus,found_reviewed,P00008,CYC_RABIT,9986,105,True,True,2026-07-17T10:43:26.549953+00:00,https://rest.uniprot.org/uniprotkb/P00008
Canis lupus familiaris,found_reviewed,P00011,CYC_CANLF,9615,105,True,True,2026-07-17T10:43:28.302248+00:00,https://rest.uniprot.org/uniprotkb/P00011
Equus caballus,found_reviewed,P00004,CYC_HORSE,9796,105,True,True,2026-07-17T10:43:30.133689+00:00,https://rest.uniprot.org/uniprotkb/P00004
Sus scrofa,found_reviewed,P62895,CYC_PIG,9823,105,True,True,2026-07-17T10:43:31.930859+00:00,https://rest.uniprot.org/uniprotkb/P62895
Bos taurus,found_reviewed,P62894,CYC_BOVIN,9913,105,True,True,2026-07-17T10:43:33.717936+00:00,https://rest.uniprot.org/uniprotkb/P62894
Macaca mulatta,found_reviewed,P00002,CYC_MACMU,9544,105,True,True,2026-07-17T10:43:35.612811+00:00,https://rest.uniprot.org/uniprotkb/P00002
Pan troglodytes,found_reviewed,P99998,CYC_PANTR,9598,105,True,True,2026-07-17T10:43:37.301969+00:00,https://rest.uniprot.org/uniprotkb/P99998
Homo sapiens,found_reviewed,P99999,CYC_HUMAN,9606,105,True,True,2026-07-17T10:43:39.042700+00:00,https://rest.uniprot.org/uniprotkb/P99999
